1356 ; 1640573262179
1381 ; 1640573263853
1265 ; 1640573265718
1443 ; 1640573268041
1406 ; 1640573270511
1299 ; 1640573272521
1261 ; 1640573274320
1358 ; 1640573276540
1263 ; 1640573278435
1382 ; 1640573279918
1375 ; 1640573281938
1409 ; 1640573284295
1305 ; 1640573286125
1280 ; 1640573287736
1296 ; 1640573290065
1342 ; 1640573291596
1428 ; 1640573293838
1357 ; 1640573296395
1428 ; 1640573298518
1248 ; 1640573300617
1292 ; 1640573303128
1278 ; 1640573305035
1275 ; 1640573307556
1421 ; 1640573309252
1290 ; 1640573311638
1395 ; 1640573313490
1278 ; 1640573315915
1417 ; 1640573317715
1374 ; 1640573319186
1298 ; 1640573321008
1408 ; 1640573322631
1308 ; 1640573324545
1343 ; 1640573326896
1418 ; 1640573328866
1424 ; 1640573331055
1280 ; 1640573333065
1409 ; 1640573335427
1335 ; 1640573337734
1364 ; 1640573340101
1437 ; 1640573342469
1286 ; 1640573344660
1376 ; 1640573346433
1353 ; 1640573348805
1395 ; 1640573350657
1410 ; 1640573352290
1381 ; 1640573354146
1438 ; 1640573355841
1343 ; 1640573357458
1343 ; 1640573359504
